Plan Name,Advisor,Branch Location,Rep,Status,Status,Implementation Contact,2024/2025 Work,Case Notes,"Conversion, TPA Change of Record or Startup, Solo",Assets,Flow,Participants,Verfied Assets/Parts,5 bps Y or N,First Billed Date,Admin Assigned,Installation Payment Date,Installation payment,Provider,Document,Projected Installation Payment,Ongoing 5 bps,Total 1 Yr RK,Annual Admin (Base Fee),Audit,New Comparability,Participant Fee,Additional bps built in,Participant Fee Total,Total 1st Yr TPA,2nd Year TPA,Hard Dollar w/o Rev Share
Associated Foods Master,AFS - MEP Plan,AFS - MEP Plan,,Active,,Kim,2024,,,,,2201,,,,Crissy,,,Transamerica,,,,,1200,,,,,,,,
Benedict Trading Company,AFS - MEP Plan,AFS - MEP Plan,,Active,y,Kim,2024,,,,,27,,,,Crissy,,,Transamerica,,,,,1200,,,15,,$405 ,,,
"Broulim's Supermarkets, Inc.",AFS - MEP Plan,AFS - MEP Plan,,Active,y,Kim,2024,,,,,423,,,,Crissy,,,Transamerica,,,,,1200,,,15,,"$6,345 ",,,
"Digby's Market, LLC",AFS - MEP Plan,AFS - MEP Plan,,Active,y,Kim,2024,,,,,40,,,,Crissy,,,Transamerica,,,,,1200,,,15,,$600 ,,,
Family Food Town Incorporated dba Family Food Town,AFS - MEP Plan,AFS - MEP Plan,,Active,y,Kim,2024,,,,,3,,,,Crissy,,,Transamerica,,,,,1200,,,15,,$45 ,,,
"G&G Merc, Inc. DBA Garden Valley Market",AFS - MEP Plan,AFS - MEP Plan,,Active,y,Kim,2024,,,,,25,,,,Crissy,,,Transamerica,,,,,1200,,,15,,$375 ,,,
JR. Mart dba Soelberg’s Market,AFS - MEP Plan,AFS - MEP Plan,,Active,y,Kim,2024,,,,,7,,,,Crissy,,,Transamerica,,,,,1200,,,15,,$105 ,,,
"K-Market, Inc. dba Khoury's Marketplace",AFS - MEP Plan,AFS - MEP Plan,,Terminating,y,Kim,2024,,,,,45,,,,Crissy,,,Transamerica,,,,,1200,,,15,,$675 ,,,
"L&P Grocery, Inc.",AFS - MEP Plan,AFS - MEP Plan,,Active,y,Kim,2024,,,,,9,,,,Crissy,,,Transamerica,,,,,1200,,,15,,$135 ,,,
"Mack's Market, Inc.",AFS - MEP Plan,AFS - MEP Plan,,Active,y,Kim,2024,,,,,6,,,,Crissy,,,Transamerica,,,,,1200,,,15,,$90 ,,,
"National Product Sales, Inc.",AFS - MEP Plan,AFS - MEP Plan,,Active,y,Kim,2024,,,,,148,,,,Crissy,,,Transamerica,,,,,1200,,,15,,"$2,220 ",,,
Park City Market Inc.,AFS - MEP Plan,AFS - MEP Plan,,Active,y,Kim,2024,,,,,83,,,,Crissy,,,Transamerica,,,,,1200,,,15,,"$1,245 ",,,
"Peterson Market, LLC",AFS - MEP Plan,AFS - MEP Plan,,Active,y,Kim,2024,,,,,55,,,,Crissy,,,Transamerica,,,,,1200,,,15,,$825 ,,,
SMOS LLC,AFS - MEP Plan,AFS - MEP Plan,,Active,y,Kim,2024,,,,,9,,,,Crissy,,,Transamerica,,,,,1200,,,15,,$135 ,,,
Stackhouse LLC dba Panaca Market,AFS - MEP Plan,AFS - MEP Plan,,Active,y,Kim,2024,,,,,11,,,,Crissy,,,Transamerica,,,,,1200,,,15,,$165 ,,,
Stewarts Investments Inc,AFS - MEP Plan,AFS - MEP Plan,,Active,y,Kim,2024,,,,,12,,,,Crissy,,,Transamerica,,,,,1200,,,15,,$180 ,,,
Upper Country Market LLC,AFS - MEP Plan,AFS - MEP Plan,,Active,y,Kim,2024,,,,,0,,,,Crissy,,,Transamerica,,,,,1200,,,15,,$0 ,,,
Winifred Food Store,AFS - MEP Plan,AFS - MEP Plan,,Terminating,,Kim,2024,,,,,4,,,,Crissy,,,Transamerica,,,,,1200,,,15,,$60 ,,,
Balance of Nature (EVIG)  XS4,BoN,BoN,,Active,y,Kim,2024,,,,,210,,,,Crissy,,,Empower,,,,,1800,,,25,,"$5,250 ",,,
Delta Health Coaching  - OME,BoN,BoN,,Active,y,Kim,2024,,,,,0,,,,Crissy,,,Empower,,,,,250,,,25,,$0 ,,,
Premium Production - XG4,BoN,BoN,,Active,y,Kim,2024,,,,,72,,,,Crissy,,,Empower,,,,,250,,,25,,"$1,800 ",,,
Ship It - PZC,BoN,BoN,,Active,y,Kim,2024,,,,,32,,,,Crissy,,,Empower,,,,,250,,,25,,$800 ,,,
SupplyLink - UQO,BoN,BoN,,Active,y,Kim,2024,,,,,23,,,,Crissy,,,Empower,,,,,250,,,25,,$575 ,,,
United we Pledge - UWP,BoN,BoN,,Active,y,Kim,2024,,,,,22,,,,Crissy,,,Empower,,,,,250,,,25,,$550 ,,,
BON Gardens,BoN,BoN,,Active,,,,,,,,11,,,,Crissy,,,Empower,,,,,250,,,25,,$275 ,,,
Fruitful Paws,BoN,BoN,,Active,,,,,,,,1,,,,Crissy,,,Empower,,,,,250,,,25,,$25 ,,,
Intl Management Team,BoN,BoN,,Active,,,,,,,,0,,,,Crissy,,,Empower,,,,,250,,,25,,$0 ,,,
Starksys,BoN,BoN,,Active,,,,,,,,30,,,,Crissy,,,Empower,,,,,250,,,25,,$750 ,,,
AFO - Boss LLC Buchanan Disposal Services,Brian Heinke,IMA,3(16),,,Kim,2023,,Conversion,"$503,000 ",$0 ,37,Y,y,2023,Kim,,n,T Rowe Price,$0 ,$0 ,$252 ,$252 ,"$2,450 ",,,$48 ,,"$1,776 ","$4,352 ","$4,478 ","$4,226 "
Aligned Providers,Michael Waldman,IMA,3(16),,,Kim,2023,,Conversion,"$6,770,000 ",$0 ,80,SB 147,n,2023,Kim,,n,T Rowe Price,$0 ,$0 ,$0 ,$0 ,"$2,450 ",,,$48 ,,"$3,840 ","$6,290 ","$6,290 ","$6,290 "
"Amat Kuhwely (AK, LLC) ",Ross Sims,IMA,3(16),,,Kim,2025,,start Q3 2025,,,,,,2026,Kim,,,T Rowe Price,,,$0 ,$0 ,2450,,,48,,$0 ,,,
Central Oregon Collective 401(k) PS,Brian Heinke,IMA,3(16),,,Kim,2023,,Conversion,"$72,000 ",$0 ,30,SB 170,n,2023,Kim,,n,T Rowe Price,$0 ,$0 ,$0 ,$0 ,"$2,450 ",,,$48 ,,"$1,440 ","$3,890 ","$3,890 ","$3,890 "
Cherry Creek North BID Retirement Plan (457),Samantha Jenkins,IMA,3(16),,,Kim,2023,,Conversion,"$387,000 ",$0 ,17,SB 21,n,2023,Kim,,n,T Rowe Price,$0 ,$0 ,$0 ,$0 ,"$2,450 ",,,$48 ,,$816 ,"$3,266 ","$3,266 ","$3,266 "
Cherry Creek North BID Retirement Plan (EE Supplemental 401a),Samantha Jenkins,IMA,3(16),,,Kim,2023,,Conversion,"$1,320,000 ",$0 ,24,Y,n,2023,Kim,,n,T Rowe Price,$0 ,$0 ,$0 ,$0 ,"$2,450 ",,,$48 ,,"$1,152 ","$3,602 ","$3,602 ","$3,602 "
ColdQuanta Inc,Brian Heinke,IMA,3(16),,,Kim,2023,,Conversion,"$10,280,000 ",$0 ,191,SB 264,n,2023,Kim,,n,T Rowe Price,$0 ,$0 ,$0 ,$0 ,"$2,450 ",,,$48 ,,"$9,168 ","$11,618 ","$11,618 ","$11,618 "
"Cunningham Swaim, LLP",Michael Waldman,IMA,3(16),,,Kim,2023,,Conversion,"$6,112,000 ",$0 ,27,SB 40,n,2023,Kim,,n,T Rowe Price,$0 ,$0 ,$0 ,$0 ,"$2,450 ",,,$48 ,,"$1,296 ","$3,746 ","$3,746 ","$3,746 "
