Plan Name,Advisor,Branch Location,Rep,Status,Implementation Contact,2024/2025 Work,Case Notes,"Conversion, TPA Change of Record or Startup, Solo",Assets,Flow,Participants,Verfied Assets/Parts,5 bps Y or N,First Billed Date,Admin Assigned,Installation Payment Date,Installation payment,Provider,Document,Projected Installation Payment,Ongoing 5 bps,Total 1 Yr RK,Annual Admin (Base Fee),Audit,New Comparability,Participant Fee,Additional bps built in,Participant Fee Total,Total 1st Yr TPA,2nd Year TPA,Hard Dollar w/o Rev Share
A.R. Daniel,Steve Heussner,TEXO - MEP - 3(16),3(16),,,,,START 1-1-2026,"$800,000 ",$0 ,100,,y,2025,Crissy,,n,Transamerica,$0 ,$0 ,$400 ,$400 ,$0 ,,,$55 ,,"$5,500 ","$5,700 ","$5,900 ","$5,500 "
Abstract Construction Co. ,Steve Heussner  ,TEXO - MEP - 3(16),3(16),,,,,Active,"$1,378,893 ",$0 ,33,,y,2024,Crissy,,n,Transamerica,$0 ,$0 ,$689 ,$689 ,$0 ,,,$55 ,,"$1,815 ","$2,160 ","$2,504 ","$1,815 "
AFO - Boss LLC Buchanan Disposal Services,Brian Heinke,IMA,Dean,,,2023,,Conversion,"$818,257 ",$0 ,38,Y,y,2023,Kim,,n,T Rowe Price,$0 ,$0 ,$409 ,$409 ,"$2,450 ",,,$48 ,,"$1,824 ","$4,479 ","$4,683 ","$4,274 "
Aligned Providers,Michael Waldman,IMA,Dean,,,2023,,Conversion,"$9,248,480 ",$0 ,96,SB 147,n,2023,Kim,,n,T Rowe Price,$0 ,$0 ,$0 ,$0 ,"$2,450 ",,,$48 ,,"$4,608 ","$7,058 ","$7,058 ","$7,058 "
"Amat Kuhwely (AK, LLC) ",Ross Sims,IMA,Dean,,,,,start Q3 2025,$0 ,$0 ,0,,n,2025,Kim,,n,T Rowe Price,$0 ,$0 ,$0 ,$0 ,"$2,450 ",,,$48 ,,$0 ,"$2,450 ","$2,450 ","$2,450 "
AnchorBuilt Inc. ,Steve Heussner  ,TEXO - MEP - 3(16),3(16),,,,,Active,"$366,699 ",$0 ,52,,y,2024,Crissy,,n,Transamerica,$0 ,$0 ,$183 ,$183 ,$0 ,,,$55 ,,"$2,860 ","$2,952 ","$3,043 ","$2,860 "
"Associated Builders and Contractors, Inc.- Greater Houston Chapter",Steve Heussner  ,TEXO - MEP - 3(16),3(16),,,,,Active,"$932,010 ",$0 ,21,,y,2024,Crissy,,n,Transamerica,$0 ,$0 ,$466 ,$466 ,$0 ,,,$55 ,,"$1,155 ","$1,388 ","$1,621 ","$1,155 "
"Azteca Enterprises, Inc. ",Steve Heussner  ,TEXO - MEP - 3(16),3(16),,,,,Active,"$4,004,244 ",$0 ,273,,y,2024,Crissy,,n,Transamerica,$0 ,$0 ,"$2,002 ","$2,002 ",$0 ,,,$55 ,,"$15,015 ","$16,016 ","$17,017 ","$15,015 "
Balance of Nature (EVIG)  XS4,Shawn Oram,BON MEP,,Active,1800,25,0,0,"$2,954,532 ",$0 ,207,,n,2024,Crissy,,n,Empower,$0 ,$0 ,$0 ,$0 ,$250 ,,,$25 ,,"$5,175 ","$5,425 ","$5,425 ","$5,425 "
Benedict Trading Company,Shawn Oram,AFS - MEP Plan,,Active,1200,15,0,0,"$1,981,327 ",$0 ,44,,n,2024,Crissy,,n,Transamerica,$0 ,$0 ,$0 ,$0 ,"$1,200 ",,,$15 ,,$660 ,"$1,860 ","$1,860 ","$1,860 "
Blackland Partners   (Used to be Provident),Steve Heussner  ,TEXO - MEP - 3(16),3(16),,,,,Start Q2 2025,"$4,872,953 ",$0 ,147,,y,2024,Crissy,,n,Transamerica,$0 ,$0 ,"$2,436 ","$2,436 ",$0 ,,,$55 ,,"$8,085 ","$9,303 ","$10,521 ","$8,085 "
"Bosworth Steel Erectors, LLC ",Steve Heussner  ,TEXO - MEP - 3(16),3(16),,,,,Active,"$1,374,464 ",$0 ,26,,y,2024,Crissy,,n,Transamerica,$0 ,$0 ,$687 ,$687 ,$0 ,,,$55 ,,"$1,430 ","$1,774 ","$2,117 ","$1,430 "
Bridgemar Construction - NEW TEXO,Steve Heussner,TEXO - MEP - 3(16),3(16),,,2025,,Start Q2 2025,$0 ,$0 ,0,,y,2025,Crissy,,n,Transamerica,$0 ,$0 ,$0 ,$0 ,$0 ,,,$55 ,,$0 ,$0 ,$0 ,$0 
"Broulim's Supermarkets, Inc.",Shawn Oram,AFS - MEP Plan,,Active,1200,15,0,0,"$21,403,786 ",$0 ,4691,,n,2024,Crissy,,n,Transamerica,$0 ,$0 ,$0 ,$0 ,"$1,200 ",,,$15 ,,"$70,365 ","$71,565 ","$71,565 ","$71,565 "
Burleson Electric Inc. - out of business?,Steve Heussner  ,TEXO - MEP - 3(16) - ORPHAN,3(16),,,,,Active,"$120,856 ",$0 ,3,,y,2024,Crissy,,n,Transamerica,$0 ,$0 ,$60 ,$60 ,$0 ,,,$55 ,,$165 ,$195 ,$225 ,$165 
Burnco USA LLC ,Steve Heussner  ,TEXO - MEP - 3(16),3(16),,,,,Active,"$18,411,936 ",$0 ,467,,y,2024,Crissy,,n,Transamerica,$0 ,$0 ,"$9,206 ","$9,206 ",$0 ,,,$55 ,,"$25,685 ","$30,288 ","$34,891 ","$25,685 "
C.D. Henderson Construction Group,Steve Heussner ,TEXO - MEP - 3(16) - ORPHAN,3(16),,,,,Active,"$745,436 ",$0 ,4,,y,2024,Crissy,,n,Transamerica,$0 ,$0 ,$373 ,$373 ,$0 ,,,$55 ,,$220 ,$406 ,$593 ,$220 
Cadillac Coffee,Nick McFarland,3(16),Joe,,,2024,Plan moving to Transamerica ,Conversion,"$6,500,000 ","$260,000 ",121,,y,2024,Kim,,Y,Transamerica,$0 ,"$13,520 ","$3,250 ","$16,770 ","$1,400 ",1000,,$10 ,,"$1,210 ","$17,755 ","$6,860 ","$3,610 "
