Incentive_Desc,Plan_Number,NY,Transferred_In,Plan_Name,TPA_Firm_Number,Plan_YE,Contract_Eff_Date,Actual_Recurring,Actual_Transfer,Actual_Credits,Number_Of_Months,Current_Asset_Value,Waive_To_Date,Waive_Type,EA_Earnings_before_prior_year_offsets,Prior_Year_Waive_Owed_by_TPA,Prior_Year_EA_Balance_Owed_by_TPA,Earned_to_Date,Previously_Paid,Carried_Fwd_To_Date,Owe_ThisPeriod,Pay_ThisPeriod,Paid_To_Date,Paid_For_Calendar_Yr,Paid_In_Plan_Yr
2024 Installation Allowance Details,0164802,,,"BLOUGH, INC.",0069182,12/31,1/26/2024,28886,224170,56734,0,0,0,,0,0,0,737.2,737.2,0,0,0,737.2,0,22.79
2024 Installation Allowance Details,0164487,,,T2 CONSTRUCTION MANAGEMENT,0069182,12/31,1/29/2024,152621,1175536,298427,0,0,0,,0,0,0,3877.28,3877.28,0,0,0,3877.28,0,84.86
2024 Installation Allowance Details,0164768,,,JOHN MCFARLAND LAWYERS PLLC,0069182,12/31,1/31/2024,92440,943330,215452,0,0,0,,0,0,0,2811.06,2811.06,0,0,0,2811.06,0,187.96
2024 Installation Allowance Details,0165412,,,NATURAL HEALTH IMPROVEMENT,0069182,12/31,3/8/2024,99068,136934,99795,0,0,0,,0,0,0,1264.55,1264.55,0,0,0,1264.55,125.51,232
2024 Installation Allowance Details,0165039,,,ALPINE AIR,0069182,12/31,4/2/2024,49386,875835,170884,0,0,0,,0,0,0,2245.53,2245.53,0,0,0,2245.53,131.96,233.46
2024 Installation Allowance Details,0166199,,,HEALTHY KIDS PLC,0069182,12/31,4/2/2024,224300,0,179440,0,0,0,,0,0,0,2243,2243,0,0,0,2243,931.89,966.67
2024 Installation Allowance Details,0165542,,,"TREEWORKS, INC.",0069182,12/31,4/3/2024,137049,355814,163011,0,0,0,,0,0,0,2082.12,2082.12,0,0,0,2082.12,362.78,929.5
2024 Installation Allowance Details,0166340,,,TUNICA COUNTY UTILITY,0069182,12/31,7/1/2024,96164,0,76931,0,0,0,,0,0,0,961.64,961.64,0,0,0,961.64,461.83,567.06
2024 Installation Allowance Details,0166414,,,CONSTRUCTION DEVELOPMENT,0069182,12/31,7/26/2024,221012,1510309,403356,0,0,0,,0,0,0,5230.74,5230.74,0,0,0,5230.74,1327.87,1543.62
2024 Installation Allowance Details,0167460,,,SWIFT PASSPORT & VISA,0069182,12/31,8/15/2024,41125,1978,33197,0,0,0,,0,0,0,415.21,415.21,0,0,0,415.21,257.37,286.62
2024 Installation Allowance Details,0167875,,,MARINEAU EYE CARE,0069182,12/31,8/29/2024,14035,149235,33613,0,0,0,,0,0,0,438.82,438.82,0,0,0,438.82,89.02,95.86
2024 Installation Allowance Details,0167249,,,DEL MAR SEAFOODS,0069182,12/31,8/30/2024,248919,1868032,479340,0,0,0,,0,0,0,6225.25,6225.25,0,0,0,6225.25,2051,2207.53
2024 Installation Allowance Details,0167878,,,GRAND RAPIDS RUBBER PRODUCTS,0069182,09/30,10/2/2024,34285,275777,68795,0,0,0,,0,0,0,894.4,866.58,0,27.82,27.82,894.4,775.44,866.58
2024 Installation Allowance Details,0168378,,,AMERICAN GRINDING COMPANY,0069182,12/31,11/27/2024,45758,0,36606,0,0,0,,0,0,0,457.58,432.82,0,24.76,24.76,457.58,210.27,397.84
2024 Installation Allowance Details,0168268,,Y,SIKMA & SONS PLUMBING,0069182,12/31,12/4/2024,174325,1911647,426207,0,0,0,,0,0,0,5566.54,5377.44,0,189.1,189.1,1017,1017,827.9
2025 Installation Allowance Details,0169465,,,CEB SERVICES,0069182,12/31,1/16/2025,142150,262787,153138,0,0,0,,0,0,0,1947.07,1767.41,0,179.66,179.66,1947.07,1947.07,1767.41
2025 Installation Allowance Details,0169531,,,RBS WEALTH MANAGEMENT LLC,0069182,12/31,2/10/2025,56886,0,45509,0,0,0,,0,0,0,568.86,471.43,0,97.43,97.43,568.86,568.86,471.43
2025 Installation Allowance Details,0169594,,,IBH ANALYTICS LLC,0069182,12/31,2/13/2025,28509,0,22807,0,0,0,,0,0,0,285.09,247.35,0,37.74,37.74,285.09,285.09,247.35
2025 Installation Allowance Details,0169808,,,JASPER ENDODONTICS P.C.,0069182,12/31,2/28/2025,31797,0,25438,0,0,0,,0,0,0,317.97,280.83,0,37.14,37.14,317.97,317.97,280.83
2025 Installation Allowance Details,0169917,,,"C-TECH IT SOLUTIONS, LLC",0069182,12/31,3/24/2025,12257,98048,24513,0,0,0,,0,0,0,318.67,298.64,0,20.03,20.03,318.67,318.67,298.64
