Total Fees by Contract,,,,,,,,,
"Executive Retirement Plans, LLC TPA(508420) ",,,,,,,,,
10/1/2023 - 9/30/2025,,,,,,,,,
,,,,,,,,,
Contract ID,Sub ID,Company Name,Fee Type,Total,,,,,
,,,,,,,,,
343399,00000,"Endurance Building Systems, Inc.",Transaction Fees,525.00,,,,,
343399,00000,"Endurance Building Systems, Inc.",Service Fee Income,452.81,,,,,
343399,00000,"Endurance Building Systems, Inc.",Special Incentive,0.00,,,,,
,,Subtotal for ALL Fees,,977.81,,,,,
,,,,,,,,,
343667,00000,"Julie R. VanHoose, DMD and Kyle Gies, DDS, PC",Transaction Fees,75.00,,,,,
343667,00000,"Julie R. VanHoose, DMD and Kyle Gies, DDS, PC",Service Fee Income,"8,198.99",,,,,
343667,00000,"Julie R. VanHoose, DMD and Kyle Gies, DDS, PC",Special Incentive,0.00,,,,,
,,Subtotal for ALL Fees,,"8,273.99",,,,,
,,,,,,,,,
343678,00000,Shapiro Bag Company,Transaction Fees,0.00,,,,,
343678,00000,Shapiro Bag Company,Service Fee Income,845.10,,,,,
343678,00000,Shapiro Bag Company,Special Incentive,0.00,,,,,
,,Subtotal for ALL Fees,,845.10,,,,,
,,,,,,,,,
343679,00000,"Icon Acquistions, LLC DBA Icon Sign Company",Transaction Fees,0.00,,,,,
343679,00000,"Icon Acquistions, LLC DBA Icon Sign Company",Service Fee Income,34.64,,,,,
343679,00000,"Icon Acquistions, LLC DBA Icon Sign Company",Special Incentive,0.00,,,,,
,,Subtotal for ALL Fees,,34.64,,,,,
,,,,,,,,,
343682,00000,SC Environmental Services,Transaction Fees,525.00,,,,,
343682,00000,SC Environmental Services,Service Fee Income,114.28,,,,,
343682,00000,SC Environmental Services,Special Incentive,0.00,,,,,
,,Subtotal for ALL Fees,,639.28,,,,,
,,,,,,,,,
514240,00000,"Lakewood Family Medicine, PLC",Transaction Fees,900.00,,,,,
514240,00000,"Lakewood Family Medicine, PLC",Service Fee Income,"27,966.30",,,,,
514240,00000,"Lakewood Family Medicine, PLC",Special Incentive,0.00,,,,,
,,Subtotal for ALL Fees,,"28,866.30",,,,,
,,,,,,,,,
514254,00000,Air Lift Company,Transaction Fees,"3,434.03",,,,,
514254,00000,Air Lift Company,Service Fee Income,"7,684.58",,,,,
514254,00000,Air Lift Company,Special Incentive,0.00,,,,,
,,Subtotal for ALL Fees,,"11,118.61",,,,,
,,,,,,,,,
514258,00000,"Nederveld, Inc.",Transaction Fees,"2,675.00",,,,,
514258,00000,"Nederveld, Inc.",Service Fee Income,"16,129.89",,,,,
514258,00000,"Nederveld, Inc.",Special Incentive,0.00,,,,,
,,Subtotal for ALL Fees,,"18,804.89",,,,,
,,,,,,,,,
514355,00000,"Centennial Securities Company, Inc.",Transaction Fees,"1,110.00",,,,,
514355,00000,"Centennial Securities Company, Inc.",Service Fee Income,"18,785.50",,,,,
514355,00000,"Centennial Securities Company, Inc.",Special Incentive,0.00,,,,,
,,Subtotal for ALL Fees,,"19,895.50",,,,,
,,,,,,,,,
514370,00000,Comprehensive Engineering PC,Transaction Fees,"2,240.10",,,,,
514370,00000,Comprehensive Engineering PC,Service Fee Income,"3,893.15",,,,,
514370,00000,Comprehensive Engineering PC,Special Incentive,0.00,,,,,
,,Subtotal for ALL Fees,,"6,133.25",,,,,
,,,,,,,,,
514462,00000,City of Lansing,Transaction Fees,"1,500.00",,,,,
514462,00000,City of Lansing,Service Fee Income,"17,376.64",,,,,
514462,00000,City of Lansing,Special Incentive,0.00,,,,,
,,Subtotal for ALL Fees,,"18,876.64",,,,,
,,,,,,,,,
514512,00000,"H & S Companies, P.C.",Transaction Fees,575.00,,,,,
514512,00000,"H & S Companies, P.C.",Service Fee Income,0.00,,,,,
514512,00000,"H & S Companies, P.C.",Special Incentive,0.00,,,,,
,,Subtotal for ALL Fees,,575.00,,,,,
,,,,,,,,,
514599,00000,Hill Machinery,Transaction Fees,880.00,,,,,
514599,00000,Hill Machinery,Service Fee Income,0.00,,,,,
514599,00000,Hill Machinery,Special Incentive,0.00,,,,,
,,Subtotal for ALL Fees,,880.00,,,,,
,,,,,,,,,
809008,00000,SYP Leasing LLC,Transaction Fees,200.00,,,,,
809008,00000,SYP Leasing LLC,Service Fee Income,0.00,,,,,
809008,00000,SYP Leasing LLC,Special Incentive,0.00,,,,,
,,Subtotal for ALL Fees,,200.00,,,,,
,,,,,,,,,
809124,00000,"American Classic Construction, Inc.",Transaction Fees,"2,075.00",,,,,
809124,00000,"American Classic Construction, Inc.",Service Fee Income,0.00,,,,,
809124,00000,"American Classic Construction, Inc.",Special Incentive,0.00,,,,,
,,Subtotal for ALL Fees,,"2,075.00",,,,,
,,,,,,,,,
809550,00000,Grandville Dental Health Center P.C.,Transaction Fees,300.00,,,,,
809550,00000,Grandville Dental Health Center P.C.,Service Fee Income,0.00,,,,,
809550,00000,Grandville Dental Health Center P.C.,Special Incentive,0.00,,,,,
,,Subtotal for ALL Fees,,300.00,,,,,
,,,,,,,,,
809956,00000,JNJ Restaurant Group LLC,Transaction Fees,100.00,,,,,
809956,00000,JNJ Restaurant Group LLC,Service Fee Income,21.91,,,,,
809956,00000,JNJ Restaurant Group LLC,Special Incentive,0.00,,,,,
,,Subtotal for ALL Fees,,121.91,,,,,
,,,,,,,,,
810349,00000,"Hi-Lites Graphics, Inc.",Transaction Fees,50.00,,,,,
810349,00000,"Hi-Lites Graphics, Inc.",Service Fee Income,0.00,,,,,
810349,00000,"Hi-Lites Graphics, Inc.",Special Incentive,0.00,,,,,
,,Subtotal for ALL Fees,,50.00,,,,,
,,,,,,,,,
810521,00000,"Anchor Real Estate of Hart, PC",Transaction Fees,0.00,,,,,
810521,00000,"Anchor Real Estate of Hart, PC",Service Fee Income,41.44,,,,,
810521,00000,"Anchor Real Estate of Hart, PC",Special Incentive,0.00,,,,,
,,Subtotal for ALL Fees,,41.44,,,,,
,,,,,,,,,
811372,00000,Meyering Insurance Agency,Transaction Fees,75.00,,,,,
811372,00000,Meyering Insurance Agency,Service Fee Income,"10,163.32",,,,,
811372,00000,Meyering Insurance Agency,Special Incentive,0.00,,,,,
,,Subtotal for ALL Fees,,"10,238.32",,,,,
,,,,,,,,,
811411,00000,"CFS Products, Inc.",Transaction Fees,"2,905.00",,,,,
811411,00000,"CFS Products, Inc.",Service Fee Income,"2,387.15",,,,,
811411,00000,"CFS Products, Inc.",Special Incentive,0.00,,,,,
,,Subtotal for ALL Fees,,"5,292.15",,,,,
,,,,,,,,,
811774,00000,Integris Solutions LLC,Transaction Fees,"3,938.45",,,,,
811774,00000,Integris Solutions LLC,Service Fee Income,"1,617.66",,,,,
811774,00000,Integris Solutions LLC,Special Incentive,0.00,,,,,
,,Subtotal for ALL Fees,,"5,556.11",,,,,
,,,,,,,,,
812175,00000,"Stellar Image Studios, LLC",Transaction Fees,0.00,,,,,
812175,00000,"Stellar Image Studios, LLC",Service Fee Income,1.12,,,,,
812175,00000,"Stellar Image Studios, LLC",Special Incentive,0.00,,,,,
,,Subtotal for ALL Fees,,1.12,,,,,
,,,,,,,,,
812307,00000,"Animal Clinic of Holland, PLLC",Transaction Fees,100.00,,,,,
812307,00000,"Animal Clinic of Holland, PLLC",Service Fee Income,"1,024.94",,,,,
812307,00000,"Animal Clinic of Holland, PLLC",Special Incentive,0.00,,,,,
,,Subtotal for ALL Fees,,"1,124.94",,,,,
,,,,,,,,,
